Carimbo de data/hora,Quantos anos você tem?,Você tem um cartão de crédito?,"Se sim, qual o limite de crédito que você tem?",Você costuma fazer compras no crédito ou prefere pagar em débito/espécie?,"Imagine que tem 300 reais sobrando este mês, o que faria com o dinheiro?","Qual a faixa de salário que seria aceitável para você, hoje? (considere um estilo de vida simples, mas sem faltar nada essencial)","Você contribui com pelo menos 50% dos seus gastos totais (água, luz, internet, aluguel, feira, etc.
)?"
04/09/2023 22:36:47,18-30,Sim,3000-5000,Crédito,Comprava algo pra mim,2000-3500,Sim
04/09/2023 22:37:14,18-30,Sim,500- 1000,Débito/espécie,"Usaria de forma diversificada entre lazer, educação, investimentos e necessidades",1500-2000,Não
04/09/2023 22:52:15,18-30,Sim,1001- 2000,Crédito,"Usaria de forma diversificada entre lazer, educação, investimentos e necessidades",acima de 6000,Sim
04/09/2023 22:54:42,18-30,Sim,500- 1000,Débito/espécie,Usaria com algo importante para ajudar com dívidas/contas/ necessidades,2000-3500,Sim
04/09/2023 22:56:12,18-30,Não,,Débito/espécie,"Usaria de forma diversificada entre lazer, educação, investimentos e necessidades",4500-6000,Não
04/09/2023 22:58:00,18-30,Sim,1001- 2000,Crédito,"Usaria de forma diversificada entre lazer, educação, investimentos e necessidades",2000-3500,Sim
04/09/2023 23:01:34,31-40,Sim,acima de 5000,Débito/espécie,"Investiria o dinheiro, e usaria mais tarde para alguma necessidade importante",4500-6000,Não
04/09/2023 23:03:53,18-30,Sim,1001- 2000,Débito/espécie,Usaria com algo importante para ajudar com dívidas/contas/ necessidades,2000-3500,Não
04/09/2023 23:04:39,41-50,Sim,2001-3000,Débito/espécie,Investiria na minha educação,4500-6000,Sim
04/09/2023 23:06:02,18-30,Sim,500- 1000,Crédito,"Investiria na minha educação, Investiria o dinheiro, e usaria mais tarde para lazer, Investiria o dinheiro, e usaria mais tarde para alguma necessidade importante, Usaria com algo importante para ajudar com dívidas/contas/ necessidades, Comprava algo pra mim, Usaria de forma diversificada entre lazer, educação, investimentos e necessidades",3500-4500,Não
05/09/2023 00:45:50,18-30,Sim,500- 1000,Crédito,Usaria com algo importante para ajudar com dívidas/contas/ necessidades,1500-2000,Sim